('Aristotle', 0.013428498186278793)
('Immanuel Kant', 0.012565213480239906)
('Pythagoras', 0.011940473795297378)
('Parmenides', 0.01114822253311791)
('Plato', 0.010720416210849064)
('Descartes', 0.009382292288264392)
('Ibn Tufail', 0.008806863067477737)
('Heraclitus', 0.007904796127946185)
('Hegel', 0.007477113154987009)
('Baruch Spinoza', 0.00694266865484857)
('Al-Farabi', 0.006414418179178159)
('David Hume', 0.006243931251565697)
('Plotinus', 0.006070278672138482)
('John Locke', 0.005865472386822678)
('Anaximander', 0.0056068228087348)
('Jean-Jacques Rousseau', 0.005456672217347233)
('Socrates', 0.005355847116269466)
('Thales of Miletus', 0.0050745253528228385)
('Democritus', 0.00499660354370217)
('Gottfried Wilhelm Leibniz', 0.004806529861825549)
